Terms,Frequency
psychology,157
cognitive psychology,134
computer science,81
neuroscience,61
cognition,56
recall,50
philosophy,41
social psychology,40
biology,33
artificial intelligence,32
forgetting,31
paleontology,28
test (biology),28
mathematics,26
cognitive science,25
free recall,25
linguistics,22
developmental psychology,20
retrieval-induced forgetting,19
economics,18
epistemology,18
medicine,18
metacognition,18
law,16
mathematics education,16
operating system,16
political science,16
physics,14
recall test,13
cued recall,12
motivated forgetting,12
statistics,12
programming language,11
task (project management),11
communication,10
management,10
metamemory,10
geometry,9
word (group theory),9
information retrieval,8
quantum mechanics,8
art,7
encoding (memory),7
perception,7
term (time),7
context (archaeology),6
cue-dependent forgetting,6
history,6
human memory,6
interleaving,6
