Year,PSYCHOLOGY,COGNITIVE PSYCHOLOGY,COMPUTER SCIENCE,NEUROSCIENCE,COGNITION,RECALL,PHILOSOPHY,SOCIAL PSYCHOLOGY,BIOLOGY,ARTIFICIAL INTELLIGENCE
1968,2,1,2,1,1,1,0,0,0,1
1969,2,1,2,1,1,1,0,0,0,1
1970,4,3,3,1,1,2,1,1,0,1
1971,5,4,3,1,1,3,1,1,0,1
1972,5,4,3,1,1,3,1,1,0,1
1973,10,8,4,1,1,5,1,1,1,2
1974,12,10,6,2,2,6,2,1,1,2
1975,14,12,7,3,3,8,4,1,1,2
1976,14,12,7,3,3,8,4,1,1,2
1977,15,13,7,3,3,9,5,1,2,2
1978,18,16,7,3,3,10,6,1,3,2
1979,19,17,7,4,4,10,7,1,3,2
1980,20,18,8,5,5,11,7,1,4,2
1981,20,18,8,5,5,11,7,1,4,2
1982,20,18,8,5,5,11,7,1,4,2
1983,22,20,9,6,6,12,8,1,4,2
1984,22,20,9,6,6,12,8,1,4,2
1985,23,21,10,6,6,13,9,1,4,2
1986,23,21,10,6,6,13,9,1,4,2
1987,23,21,10,6,6,13,9,1,4,2
1988,27,24,14,7,7,13,10,2,4,2
1989,28,25,15,8,8,13,11,2,4,2
1990,30,26,15,9,9,13,11,4,4,2
1991,32,26,15,10,9,13,12,5,4,2
1992,36,29,17,13,11,14,13,6,5,3
1993,36,29,17,13,11,14,13,6,5,3
1994,42,34,21,19,16,15,14,6,7,3
1995,44,35,22,19,16,16,15,7,7,4
1996,48,39,24,22,19,17,17,7,7,5
1997,50,41,26,23,20,17,18,8,7,5
1998,52,43,28,24,21,17,18,8,7,5
1999,54,45,29,24,21,17,18,9,7,6
2000,64,50,32,27,23,19,21,12,8,6
2001,68,53,32,30,26,19,21,12,9,6
2002,73,57,36,33,27,20,23,12,9,8
2003,74,58,36,34,28,21,23,13,10,8
2004,76,60,37,35,29,22,23,14,10,9
2005,80,64,39,38,32,24,25,16,10,10
2006,84,68,42,40,34,25,26,19,11,13
2007,87,71,42,40,34,25,26,21,12,13
2008,95,78,47,43,37,29,26,22,12,15
2009,97,80,48,44,38,30,26,23,13,15
2010,101,84,50,45,39,31,28,23,15,16
2011,104,87,50,45,39,34,29,23,17,16
2012,111,94,53,48,42,37,29,26,21,19
2013,115,98,55,50,44,39,30,27,23,19
2014,124,106,60,53,47,40,31,32,25,24
2015,129,111,62,55,50,43,34,33,26,25
2016,135,117,67,58,53,44,35,34,27,27
2017,136,118,69,59,54,44,36,35,27,29
2018,138,120,71,60,55,44,36,36,28,29
2019,139,121,72,60,55,44,36,37,29,29
2020,145,126,76,61,56,47,37,38,32,31
2021,147,128,77,61,56,48,38,39,32,31
2022,153,130,79,61,56,49,40,40,32,31
2023,153,130,79,61,56,49,40,40,32,31
2024,156,133,80,61,56,49,40,40,33,32
2025,157,134,81,61,56,50,41,40,33,32
